date,trip_count,avg_fare,total_fare,avg_total_amount,total_revenue,avg_distance,avg_duration,avg_tip,avg_passengers
2026-03-06,125294,20.745566986447873,2599295.07,29.715951202771084,3723230.39,3.3551273005890145,17.69952817639578,2.9136637029706134,1.2266689667069173
2026-03-07,127926,20.023975579631976,2561587.1,27.991407688820097,3580828.82,3.251882338226787,15.532711098603881,2.4816301611869362,1.3264185679531857
2026-03-08,111344,21.683553671504527,2414333.6,30.320172708004023,3375969.31,3.9550303563730425,16.46945532164583,2.7729437598792934,1.3002397836845059
2026-03-09,102743,22.120941572661884,2272771.9,31.59398031982714,3246060.32,3.8471586385447183,18.619842065477293,3.2055916218136513,1.1919947349527342
2026-03-10,121867,21.689322622202894,2643212.68,30.92818507060976,3769125.13,3.378443302945014,18.492741950924643,3.0823005407534443,1.1784531957674107
2026-03-11,125586,21.10943194305098,2651049.12,30.355684789705858,3812249.03,3.3090695618938417,17.941824062130067,3.110634704505279,1.1785791110155073
2026-03-12,149996,21.970046867916476,3295419.15,31.11130203472093,4666570.86,3.210426144697192,18.317879254557898,2.9674286647643937,1.1882520941086325
2026-03-13,137472,21.1723823033054,2910609.74,30.199571694599626,4151595.52,3.3825451728351954,17.67214584303228,2.9153523626629423,1.2414036341747865
2026-03-14,139457,20.26964275726568,2826743.57,28.303326043153085,3947096.94,3.230983887506543,15.560978652918104,2.47886789476326,1.345375372953794
2026-03-15,115669,21.77335258366546,2518501.92,30.16453587391609,3489101.7,3.7885744667975,15.558528070038932,2.6576048033613153,1.312022557044729
2026-03-16,106540,21.196276046555283,2258251.25,30.210833959076403,3218662.25,3.570155997747325,17.3895604154934,2.9500080720856015,1.1959059840158661
2026-03-17,121308,22.309591700464935,2706331.95,31.573641227289215,3830135.27,3.4530299732911267,19.174229646849344,3.12716564447522,1.1956897685096226
2026-03-18,137397,21.396291039833475,2939786.2,30.605733094609054,4205135.91,3.3402337751188163,18.047980547852816,3.062042839363305,1.1850014536996656
2026-03-19,141382,21.805571713513743,3082915.34,30.96827050119534,4378356.02,3.3727801275975726,17.952604763454094,3.0197162297887994,1.1978113187120523
2026-03-20,132337,21.76998926981872,2880975.07,30.674704655538513,4059398.39,3.497700945313858,16.47826181138558,2.7210514822007448,1.2475122315283191
2026-03-21,132206,21.250343327836863,2809422.89,29.309932151339577,3874948.89,3.418662541790842,15.576289654024778,2.4784453050542337,1.3332788635422794
2026-03-22,112844,22.60052045301478,2550333.13,31.244444542908795,3525748.1,3.9974837829215555,15.87961374404783,2.731240207720393,1.2998735092157572
2026-03-23,101744,21.273378479320648,2164438.62,30.294498938512344,3082283.5,3.7618140627457146,17.815503453111074,3.0478955024374903,1.1858994285167739
2026-03-24,113542,21.180061827341426,2404826.58,30.330637649504148,3443801.26,3.6146283313663665,18.21443195763095,3.0702212397174615,1.1784324924297123
2026-03-25,116511,21.145356318287543,2463666.61,30.382665671052518,3539914.76,3.587413892250517,18.328517908180345,3.1406474066826306,1.1783919859358583
2026-03-26,122955,21.4754567931357,2640514.79,30.698062380545725,3774480.26,3.5695436541824246,18.807454353218656,3.107342605018096,1.1944642444808096
2026-03-27,120589,21.05843542943386,2539415.67,30.15382024894476,3636219.03,3.6477424972427004,18.075580415018504,2.997530040053405,1.243607991439228
2026-03-28,130573,20.172993727646602,2634048.31,28.363805457483554,3703547.17,3.2936319147143744,16.351088663046728,2.626908013142074,1.3461063169153764
2026-03-29,106356,21.46851658580616,2283305.55,30.019953176125465,3192802.14,3.87116881041032,15.707707134529315,2.7964067847606153,1.3240449958813838
2026-03-30,96947,21.117563514085013,2047284.43,30.417762591931673,2948910.83,3.89084303794857,17.861133918532808,3.1664967456445274,1.2223840207749341
2026-03-31,109148,20.65804357386301,2254784.14,29.778276835122952,3250239.36,3.5957758273170373,17.945419369418893,3.076162824788361,1.2195427873393976
