date,trip_count,avg_fare,total_fare,avg_total_amount,total_revenue,avg_distance,avg_duration,avg_tip,avg_passengers,source_file
2018-08-13,238302,13.05988296363438,3112196.23,16.49039512887009,3929694.14,3.0671360710359123,13.985497324123731,1.8504919388003458,1.5860096991581467,2018-08
2018-08-14,259395,13.059964455752809,3387689.48,16.460847240694694,4269861.47,2.950800169625475,14.668372623476422,1.866174868443879,1.579415781311483,2018-08
2018-08-15,273971,13.112813034956254,3592530.5,16.582028316865653,4542994.88,3.015243073171978,14.62852211852106,1.8941962105478318,1.5831671378582335,2018-08
2018-08-16,275328,13.30735359280567,3663887.05,16.777330747326825,4619268.92,2.984299998547187,15.266338936347434,1.9103120278358903,1.5901968267815276,2018-08
2018-08-17,270434,12.774910403277694,3454770.12,16.060091038848665,4343194.66,2.8908040039344165,14.286868330165586,1.7576560269788561,1.6056679382957704,2018-08
2018-08-18,230606,12.798781558155468,2951475.82,15.703208372722305,3621254.07,3.065406364101541,13.357301631353911,1.6104354613496614,1.6702774222935601,2018-08
2018-08-19,202686,13.607890480842288,2758128.89,16.811447509941484,3407445.05,3.4748547013607256,13.255161760884652,1.7973778652694317,1.6636902117577372,2018-08
2018-08-20,222171,13.323420068325749,2960077.56,16.80845911482597,3734352.17,3.2290164782982473,13.816472221847137,1.862810402797845,1.5805937276203603,2018-08
2018-08-21,237828,12.637221353246884,3005485.08,16.00478989017273,3806387.17,3.061780530467397,12.965783815754802,1.7926536404460365,1.5369215359493629,2018-08
2018-08-22,257714,12.880768991983361,3319554.5,16.292663883219383,4198847.58,3.004864345747612,13.966734700740615,1.8496117789487572,1.571987927237132,2018-08
2018-08-23,260448,13.24558798685342,3449786.9,16.721961466396362,4355201.42,3.0535117950608184,14.859243367837982,1.8943718131834377,1.5787325621613313,2018-08
2018-08-24,248878,13.269895531143774,3302585.06,16.66459060262458,4147449.98,3.087694332162746,14.696905712839223,1.8085598164562557,1.6004150028350483,2018-08
2018-08-25,227522,12.700099375005493,2889552.01,15.563382793751813,3541011.98,3.098519791492691,13.041511370329022,1.5803897645062894,1.6717491786912715,2018-08
2018-08-26,209585,13.443294415153755,2817512.86,16.596906458000333,3478462.64,3.484275783095164,13.0068626889647,1.7453230431567146,1.6565572635369064,2018-08
2018-08-27,224943,13.04579938028745,2934561.25,16.474749292042873,3705879.5300000003,3.181964853318396,13.464311106961912,1.8094373685778176,1.58291354420691,2018-08
2018-08-28,258083,12.702075262609315,3278189.69,16.032396593344004,4137689.0100000002,2.895813401115145,14.012042508288678,1.7896643327921637,1.590268379601444,2018-08
2018-08-29,266863,12.715618238571851,3393328.03,16.076240692789934,4290153.82,2.89536593682901,14.09465012634448,1.8211175022389765,1.5783170950399736,2018-08
2018-08-30,258845,13.46731310243582,3485946.66,16.969103015318048,4392367.47,3.0644640228708298,15.399496609940313,1.9010510150862485,1.5806994272631998,2018-08
